部,請求番号,書名,缺冊,内閣ID,manifest
子部,３０３－０１９４,傷寒纉論,4,4916923,https://www.digital.archives.go.jp/api/iiif/4916923/manifest.json
子部,３０３－０１７１,傷寒辨證,1,4916878,https://www.digital.archives.go.jp/api/iiif/4916878/manifest.json
子部,３０１－０１４６,名醫類案,7,4770462,https://www.digital.archives.go.jp/api/iiif/4770462/manifest.json
子部,３０１－０１４６,名醫類案,8,4770464,https://www.digital.archives.go.jp/api/iiif/4770464/manifest.json
子部,３００－００７４,周憲王救荒本草,17,4782818,https://www.digital.archives.go.jp/api/iiif/4782818/manifest.json
子部,３０３－００２５,增補醫方一盤珠全集,1,4916580,https://www.digital.archives.go.jp/api/iiif/4916580/manifest.json
子部,３０４－０００３,大醫院真傳全幼心鑑,1,4917342,https://www.digital.archives.go.jp/api/iiif/4917342/manifest.json
子部,３０３－０２５８,女科切要,1,4917174,https://www.digital.archives.go.jp/api/iiif/4917174/manifest.json
子部,３０５－０００７,孫真人備急千金要方,1,4770996,https://www.digital.archives.go.jp/api/iiif/4770996/manifest.json
子部,３０５－０００７,孫真人備急千金要方,3,4770998,https://www.digital.archives.go.jp/api/iiif/4770998/manifest.json
子部,３０５－０００７,孫真人備急千金要方,4,4770999,https://www.digital.archives.go.jp/api/iiif/4770999/manifest.json
子部,３０５－０００７,孫真人備急千金要方,5,4771000,https://www.digital.archives.go.jp/api/iiif/4771000/manifest.json
子部,３０５－０００７,孫真人備急千金要方,6,4771001,https://www.digital.archives.go.jp/api/iiif/4771001/manifest.json
子部,３０５－０００７,孫真人備急千金要方,7,4771002,https://www.digital.archives.go.jp/api/iiif/4771002/manifest.json
子部,３０５－０００７,孫真人備急千金要方,8,4771003,https://www.digital.archives.go.jp/api/iiif/4771003/manifest.json
子部,３０５－０００７,孫真人備急千金要方,9,4771004,https://www.digital.archives.go.jp/api/iiif/4771004/manifest.json
子部,３０５－０００７,孫真人備急千金要方,10,4771005,https://www.digital.archives.go.jp/api/iiif/4771005/manifest.json
子部,３０５－０００７,孫真人備急千金要方,11,4771006,https://www.digital.archives.go.jp/api/iiif/4771006/manifest.json
子部,３０５－０００７,孫真人備急千金要方,12,4771007,https://www.digital.archives.go.jp/api/iiif/4771007/manifest.json
子部,３０５－０００７,孫真人備急千金要方,13,4771008,https://www.digital.archives.go.jp/api/iiif/4771008/manifest.json
子部,３０５－０００７,孫真人備急千金要方,14,4771009,https://www.digital.archives.go.jp/api/iiif/4771009/manifest.json
子部,３０５－０００７,孫真人備急千金要方,15,4771010,https://www.digital.archives.go.jp/api/iiif/4771010/manifest.json
子部,３０５－０００７,孫真人備急千金要方,16,4771011,https://www.digital.archives.go.jp/api/iiif/4771011/manifest.json
子部,３０５－０００７,孫真人備急千金要方,17,4771012,https://www.digital.archives.go.jp/api/iiif/4771012/manifest.json
